basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20250616,003160,KR7003160009,디아이,KOSPI,16850,660,4.08,16020,16960,15810,424463,7014786480,28300000,476855000000
20250616,003200,KR7003200003,일신방직,KOSPI,10890,190,1.78,10700,11000,10590,48722,526651830,22960000,250034400000
20250616,003220,KR7003220001,대원제약,KOSPI,13610,-80,-.58,13690,13700,13510,35894,487150450,22427583,305239404630
20250616,003230,KR7003230000,삼양식품,KOSPI,1279000,83000,6.94,1219000,1283000,1213000,72350,90884389000,7533015,9634726185000
20250616,003240,KR7003240009,태광산업,KOSPI,1061000,38000,3.71,1024000,1061000,1006000,3048,3155228500,1113400,1181317400000
20250616,003280,KR7003280005,흥아해운,KOSPI,2140,-60,-2.73,2380,2385,2000,95957090,209278445126,240424899,514509283860
20250616,003300,KR7003300001,한일홀딩스,KOSPI,19000,1080,6.03,17920,19700,17920,52473,991462425,30832884,585824796000
20250616,003310,KR7003310000,대주산업,KOSDAQ,1896,39,2.1,1858,1906,1843,1005055,1888728785,35392350,67103895600
20250616,003350,KR7003350006,한국화장품제조,KOSPI,51600,-200,-.39,50800,52400,50500,42107,2175515600,4532000,233851200000
20250616,003380,KR7003380003,하림지주,KOSDAQ,9870,620,6.7,9240,9900,9240,1076333,10456632295,112005621,1105495479270
20250616,003460,KR7003460003,유화증권,KOSPI,2800,50,1.82,2730,2815,2720,45023,125671274,56702415,158766762000
20250616,003465,KR7003461001,유화증권우,KOSPI,2630,30,1.15,2665,2665,2630,431,1136740,17476425,45962997750
20250616,003470,KR7003470002,유안타증권,KOSPI,3520,25,.72,3450,3535,3440,609205,2132354320,199596576,702579947520
20250616,003475,KR7003471000,유안타증권우,KOSPI,3690,80,2.22,3555,3710,3555,64578,235231658,12912212,47646062280
20250616,003480,KR7003480001,한진중공업홀딩스,KOSPI,5440,110,2.06,5330,5450,5170,109408,585505995,29529812,160642177280
